Feature,SHAP Importance
PIT501,0.047125993238628316
AIT504,0.04206168128618769
PIT503,0.04043491628713076
AIT402,0.033234002790679396
AIT201,0.02948931667686461
FIT401,0.023931181568561943
PIT502,0.023839412457718784
LIT301,0.02114534646749062
FIT501,0.020513098188448604
FIT503,0.017731622806933457
LIT401,0.017182393514418328
FIT504,0.0171241839853872
AIT501,0.01698223861021999
AIT502,0.016689112982419582
AIT202,0.015929762235449375
DPIT301,0.012981059897495411
AIT203,0.012511489500404253
LIT101,0.011552052019387159
FIT301,0.011479880552021263
AIT503,0.011064461464735118
FIT201,0.01039360805516652
FIT502,0.010045544489415562
MV201,0.008688190371559773
UV401,0.007342455766644463
AIT401,0.006999278583129162
P102,0.006603330490452897
P501,0.004704016726198175
MV304,0.00429139127206755
FIT601,0.0040820018945329824
P302,0.002915831633569538
FIT101,0.0027727211351006287
P402,0.002158498362528579
MV101,0.0016795762842884854
P203,0.0016678074329136404
P201,0.001625847072457832
P101,0.0015601881657564963
P205,0.001103748860909869
MV302,0.0007971974396302917
MV301,0.0002852784602378478
MV303,0.00022408233725600244
P204,9.208944548395174e-05
P206,7.96145296743886e-05
P602,1.7049083187613477e-05
P301,1.1375072873175212e-05
P403,1.72389899463807e-06
P202,0.0
P502,0.0
P404,0.0
P601,0.0
P401,0.0
P603,0.0
