Feature,Importance
FIT401,0.18687625
FIT501,0.1686803
P102,0.13016929
PIT502,0.12670286
AIT402,0.043530673
AIT401,0.025355289
FIT503,0.024057051
P201,0.022109373
AIT201,0.021841832
LIT301,0.018381715
P204,0.017092057
MV101,0.016292527
AIT502,0.016145114
DPIT301,0.013084203
MV302,0.012818312
MV301,0.012643938
P206,0.012279732
FIT201,0.011888254
LIT101,0.011136839
AIT504,0.010363094
LIT401,0.009650312
AIT503,0.008808353
AIT501,0.0075445883
FIT601,0.0074740523
AIT202,0.0070465156
PIT501,0.006404665
AIT203,0.0059017846
PIT503,0.0055701584
P101,0.0052415743
P302,0.0051079057
FIT504,0.004427309
FIT301,0.0043204897
FIT101,0.0037558712
P205,0.0037384375
P203,0.0031396698
MV303,0.0029633543
MV201,0.0022248104
MV304,0.0016325113
P602,0.0013893726
UV401,0.0008091851
P403,0.0006541511
P501,0.00062884355
FIT502,0.00011740709
P404,0.0
P502,0.0
P301,0.0
P202,0.0
P401,0.0
P601,0.0
P402,0.0
P603,0.0
